4.36	0.79
4.21	0.29
5.23	3.9
	
4.62	1.6
4.37	0.79
4.32	0.63
4.22	0.29
5.25	3.96
	
4.46	1.03
4.63	1.59
4.34	0.62
4.39	0.77
4.24	0.29
4.46	1.03
	
4.33	0.63
4.38	0.8
4.23	0.32
5.26	4.03
	
7.72	4.91
	
5.15	3.48
4.46	1.02
4.45	1
4.26	0.42
4.62	1.53
	
5.17	3.58
4.45	1.05
4.25	0.44
4.61	1.58
	
5.14	3.48
4.45	1.08
4.25	0.44
4.62	1.59
	
5.16	3.54
4.25	0.45
4.45	1.06
4.47	1.11
4.62	1.58
	
5.16	3.56
4.25	0.46
4.45	1.09
4.48	1.16
5.13	3.43
	
4.61	1.6
4.48	1.19
4.45	1.11
4.24	0.47
4.56	1.44
	
4.61	1.57
4.47	1.11
4.48	1.17
4.25	0.47
5.14	3.47
5.16	3.54
	
4.61	1.58
4.49	1.22
4.47	1.14
4.25	0.48
5.16	3.53
	
4.61	1.59
4.24	0.49
4.49	1.22
4.48	1.18
5.19	3.7
	
4.6	1.6
4.47	1.2
4.23	0.49
4.49	1.25
5.2	3.75
	
4.59	1.65
4.46	1.26
4.2	0.51
4.49	1.34
5.24	3.98
	
4.21	0.52
4.47	1.27
4.49	1.36
5.2	3.79
	
4.47	1.36
4.45	1.32
4.18	0.55
5.24	4
	
4.19	0.54
4.49	1.39
4.47	1.31
5.26	4.06
	
4.49	1.45
4.46	1.34
4.17	0.56
4.49	1.45
	
4.54	1.98
4.12	0.76
4.35	1.43
	
4.65	1.98
4.39	1.2
4.38	1.17
	
4.65	2.01
4.4	1.25
	
4.68	1.95
4.27	0.66
4.42	1.14
4.21	0.48
	
4.27	0.65
4.69	1.96
4.42	1.11
4.27	0.65
	
4.23	0.47
4.71	1.98
	
4.27	0.44
4.28	0.43
4.32	0.6
4.33	0.59
4.32	0.6
4.33	0.59
4.32	0.6
4.33	0.59
	
5.75	6.33
	
5.77	6.32
	
5.8	6.31
	
5.83	6.29
	
